,0,1,2,3,4,5
100,2019-04-01 00:00:37.118,1.57786,1.57815,0.0,0.0,130
101,2019-04-01 00:00:37.619,1.57785,1.57815,0.0,0.0,130
102,2019-04-01 00:00:38.667,1.57785,1.5781399999999999,0.0,0.0,4
103,2019-04-01 00:00:41.164,1.57785,1.57815,0.0,0.0,4
104,2019-04-01 00:00:41.520,1.57786,1.57815,0.0,0.0,130
105,2019-04-01 00:00:41.919,1.57785,1.57815,0.0,0.0,130
106,2019-04-01 00:00:44.371,1.57785,1.5781399999999999,0.0,0.0,4
107,2019-04-01 00:00:45.838,1.5778400000000001,1.57812,0.0,0.0,134
108,2019-04-01 00:00:47.659,1.5777999999999999,1.5781100000000001,0.0,0.0,134
109,2019-04-01 00:00:47.723,1.57785,1.5781,0.0,0.0,134
110,2019-04-01 00:00:47.894,1.57782,1.5781,0.0,0.0,130
111,2019-04-01 00:00:48.390,1.5777999999999999,1.5781,0.0,0.0,130
112,2019-04-01 00:00:49.880,1.57782,1.5781,0.0,0.0,130
113,2019-04-01 00:00:49.947,1.57782,1.57808,0.0,0.0,4
114,2019-04-01 00:00:50.194,1.57779,1.5780699999999999,0.0,0.0,134
115,2019-04-01 00:00:50.615,1.57778,1.5780699999999999,0.0,0.0,130
116,2019-04-01 00:00:51.803,1.5777700000000001,1.57805,0.0,0.0,134
117,2019-04-01 00:00:51.954,1.57774,1.57804,0.0,0.0,134
118,2019-04-01 00:00:52.006,1.57768,1.57793,0.0,0.0,134
119,2019-04-01 00:00:52.065,1.57765,1.5779,0.0,0.0,134
120,2019-04-01 00:00:52.532,1.57763,1.5779,0.0,0.0,130
121,2019-04-01 00:00:53.473,1.57762,1.57789,0.0,0.0,134
122,2019-04-01 00:00:53.558,1.5775700000000001,1.5778699999999999,0.0,0.0,134
123,2019-04-01 00:00:53.610,1.5775700000000001,1.57783,0.0,0.0,4
124,2019-04-01 00:00:53.815,1.57755,1.57783,0.0,0.0,130
125,2019-04-01 00:00:54.310,1.57754,1.57783,0.0,0.0,130
126,2019-04-01 00:00:54.718,1.5775700000000001,1.57783,0.0,0.0,130
127,2019-04-01 00:00:54.829,1.5775700000000001,1.57788,0.0,0.0,4
128,2019-04-01 00:00:55.114,1.5776,1.57788,0.0,0.0,130
129,2019-04-01 00:00:55.247,1.5776,1.57789,0.0,0.0,4
130,2019-04-01 00:00:55.312,1.5776599999999998,1.57789,0.0,0.0,130
131,2019-04-01 00:00:55.397,1.57768,1.5779800000000002,0.0,0.0,134
132,2019-04-01 00:00:55.450,1.57767,1.57799,0.0,0.0,134
133,2019-04-01 00:00:55.512,1.5776599999999998,1.57799,0.0,0.0,130
134,2019-04-01 00:00:57.512,1.5776599999999998,1.57797,0.0,0.0,4
135,2019-04-01 00:00:59.426,1.57765,1.57796,0.0,0.0,134
136,2019-04-01 00:01:00.102,1.57765,1.57796,0.0,0.0,130
137,2019-04-01 00:01:00.168,1.5776599999999998,1.57796,0.0,0.0,130
138,2019-04-01 00:01:00.207,1.57768,1.57799,0.0,0.0,134
139,2019-04-01 00:01:00.343,1.57768,1.5779800000000002,0.0,0.0,4
140,2019-04-01 00:01:00.918,1.5776599999999998,1.5779800000000002,0.0,0.0,130
141,2019-04-01 00:01:01.036,1.57765,1.57797,0.0,0.0,134
142,2019-04-01 00:01:02.806,1.57765,1.57796,0.0,0.0,4
143,2019-04-01 00:01:02.983,1.5776400000000002,1.57796,0.0,0.0,130
144,2019-04-01 00:01:03.080,1.5776400000000002,1.57795,0.0,0.0,4
145,2019-04-01 00:01:04.087,1.57763,1.57795,0.0,0.0,130
146,2019-04-01 00:01:05.991,1.57763,1.57794,0.0,0.0,4
147,2019-04-01 00:01:06.041,1.57762,1.57793,0.0,0.0,134
148,2019-04-01 00:01:06.105,1.57762,1.57794,0.0,0.0,4
149,2019-04-01 00:01:07.458,1.57762,1.57793,0.0,0.0,4
150,2019-04-01 00:01:07.550,1.5776,1.57789,0.0,0.0,134
151,2019-04-01 00:01:07.662,1.57758,1.57785,0.0,0.0,134
152,2019-04-01 00:01:08.029,1.57755,1.57785,0.0,0.0,130
153,2019-04-01 00:01:08.125,1.57755,1.5778400000000001,0.0,0.0,4
